Physical flow account for greenhouse gas emissions c 1 2 3 4 5 6 7 8 9 10 11,,,,,,,,,,,
Frequency: Annual,,,,,,,,,,,
Table: 38-10-0097-01 (formerly CANSIM 153-0114),,,,,,,,,,,
Release date: 2023-12-20,,,,,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Geography,Sector,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
,Non-metallic mineral product manufacturing (except cement and concrete products)  [BS327A0],0s,0s,0s,0s,0,0s,0s,0s,0s,0s
,Cement and concrete product manufacturing  [BS32730],1,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Primary metal manufacturing  [BS33100],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Fabricated metal product manufacturing  [BS33200],1,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Machinery manufacturing  [BS33300],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Computer and peripheral equipment manufacturing  [BS33410],0s,0s,0s,0s,0,0s,0s,0s,0s,0s
,Electronic product manufacturing  [BS334B0],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Electrical  equipment and component manufacturing  [BS335A0],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Household appliance manufacturing  [BS33520],0s,0s,0s,0,0,0,0,0s,0s,0s
,Motor vehicle manufacturing  [BS33610],0s,0s,0s,0s,0,0s,0s,0s,0s,0s
,Motor vehicle body and trailer manufacturing  [BS33620],0s,0s,0s,0s,0,0s,0s,0s,0s,0s
,Motor vehicle parts manufacturing  [BS33630],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Aerospace product and parts manufacturing  [BS33640],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Railroad rolling stock manufacturing  [BS33650],0,0,0,0,0,0,0,0,0,0
,Ship and boat building  [BS33660],0s,0s,0s,0,0,0,0,0s,0s,0s
,Other transportation equipment manufacturing  [BS33690],0s,0s,0s,0s,0,0s,0s,0s,0s,0s
,Furniture and related product manufacturing  [BS33700],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Miscellaneous manufacturing  [BS33900],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Wholesale trade  [BS41000],8,5,6,5,6,6,7,6,3,4
,Retail trade  [BS4A000],23,15,..,..,..,..,..,..,..,..
,Retail trade (except cannabis)  [BS4AA00],..,..,12,13,13,11,12,12,9,10
,Cannabis stores (licensed)  [BS453BL],..,..,0,0,0,0,0s,0s,0s,0s
,Cannabis stores (unlicensed)  [BS453BU],..,..,0s,0s,0s,0s,0s,0,0,0
,Air transportation  [BS48100],69,67,62,65,68,70,65,66,44,45
,Rail transportation  [BS48200],0s,0s,0s,0s,0,0s,0s,0s,0s,0s
,Water transportation  [BS48300],0s,0s,0s,0s,0,0s,0s,0s,0s,0s
,Truck transportation  [BS48400],13,12,13,12,15,12,14,14,15,16
,"Transit, ground passenger and scenic and sightseeing transportation, taxi and limousine service and support activities for transportation  [BS48B00]",5,6,5,5,5,4,4,6,4,4
,Pipeline transportation  [BS48600],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Postal service and couriers and messengers  [BS49A00],2,2,1,1,2,1,1,2,2,2
,Warehousing and storage  [BS49300],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Motion picture and sound recording industries  [BS51200],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Radio and television broadcasting  [BS51510],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,"Publishing, pay/specialty services, telecommunications and other information services  [BS51B00]",6,4,6,7,1,1,0s,0s,0s,0s
,Depository credit intermediation and monetary authorities  [BS52B00],6,3,2,3,3,2,2,2,1,2
,Insurance carriers  [BS52410],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Lessors of real estate  [BS53110],18,13,7,11,11,9,9,8,9,11
,Owner-occupied dwellings  [BS5311A],0,0,0,0,0,0,0,0,0,0
,Rental and leasing services and lessors of non-financial intangible assets (except copyrighted works)  [BS53B00],9,5,4,5,5,4,5,6,4,4
,"Other finance, insurance and real estate services and management of companies and enterprises  [BS5A000]",12,10,6,6,7,6,6,6,4,4
,"Legal, accounting and architectural, engineering and related services  [BS541C0]",1,1,1,1,1,0s,0s,1,0s,1
,"Computer systems design and other professional, scientific and technical services  [BS541D0]",1,1,0s,0s,0s,0s,0s,0s,0s,0s
,"Advertising, public relations and related services  [BS54180]",0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Administrative and support services  [BS56100],1,1,1,1,1,1,1,2,2,1
,Waste management and remediation services  [BS56200],12,5,4,4,3,3,3,3,2,3
,Educational services  [BS61000],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Health care and social assistance  [BS62000],7,6,6,6,8,7,7,7,7,6
,"Arts, entertainment and recreation  [BS71000]",1,1,1,1,1,0s,0s,1,0s,0s
,Accommodation and food services  [BS72000],22,16,13,16,15,13,14,16,12,15
,Repair and maintenance  [BS81100],2,1,1,1,1,1,1,2,2,2
,Personal services and private households  [BS81A00],1,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Professional and similar organisations  [BS81300],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Repair and maintenance  [FC11000],0,0,0,0,0,0,0,0,0,0
,Operating supplies  [FC12000],0,0,0,0,0,0,0,0,0,0
,Office supplies  [FC13000],0,0,0,0,0,0,0,0,0,0
,"Advertising, promotion, meals, entertainment, and travel  [FC20000]",0,0,0,0,0,0,0,0,0,0
,Transportation margins  [FC30000],0,0,0,0,0,0,0,0,0,0
,Non-profit education services  [NP61000],0s,0s,0s,0,0,0,0,0s,0,0s
,Non-profit social assistance  [NP62400],1,0s,0s,0s,0s,0s,0s,0s,0s,0s
,"Non-profit arts, entertainment and recreation  [NP71000]",0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Religious organizations  [NP81310],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Miscellaneous non-profit institutions serving households  [NPA0000],2,2,2,2,3,2,2,3,3,3
,Educational services (except universities)  [GS611B0],7,4,4,4,4,4,5,4,1,1
,Universities  [GS61130],0s,0s,0s,0s,0s,0s,0s,0s,2,2
,Hospitals  [GS62200],5,4,2,2,2,2,3,2,2,2
,Nursing and residential care facilities  [GS62300],0,0s,0s,0,0s,0s,0s,0s,0,0s
,Other federal government services  [GS91100],8,5,3,5,6,6,7,7,5,5
,Other provincial and territorial government services  [GS91200],68,99,64,72,69,61,59,59,49,67
,Other municipal government services  [GS91300],19,12,10,11,12,8,12,22,20,23
,Other aboriginal government services  [GS91400],3,2,2,2,3,12,16,5,6,6
,"Total, households",149,148,127,130,129,139,147,160,140,125
,Households: Motor fuels and lubricants,112,107,108,116,116,127,141,153,126,113
,Households: Electricity and other fuels,37,41,19,13,13,12,6,7,14,12
Northwest Territories,"Total, industries and households","2,054","2,020","2,075","2,083","1,791","1,992","1,971","1,919","1,544","1,675"
,"Total, industries","1,896","1,868","1,897","1,904","1,638","1,859","1,830","1,772","1,416","1,550"
,Crop and animal production  [BS11A00],51,12,..,..,..,..,..,..,..,..
,Crop and animal production (except cannabis)  [BS11B00],..,..,1,1,1,1,1,2,1,55
,Cannabis production (licensed)  [BS111CL],..,..,0,0,0,0,0,0,0,0
,Cannabis production (unlicensed)  [BS111CU],..,..,0,0,0,0,0,0,0,0
,Forestry and logging  [BS11300],0s,1,0s,0s,0s,0s,0s,0s,0s,0s
,"Fishing, hunting and trapping  [BS11400]",0s,0s,0s,0s,0s,6,4,3,2,2
,Support activities for agriculture and forestry  [BS11500],3,3,5,4,6,10,5,6,5,5
,Oil and gas extraction  [BS21100],114,74,58,55,78,25,40,147,97,105
,Coal mining  [BS21210],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Metal ore mining  [BS21220],39,43,46,36,0s,0s,0s,0s,0s,0s
,Non-metallic mineral mining and quarrying  [BS21230],463,502,531,522,422,509,556,507,418,478
,Support activities for mining and oil and gas extraction  [BS21300],131,118,107,132,140,177,183,133,80,78
,"Electric power generation, transmission and distribution  [BS22110]",63,64,83,119,69,62,68,60,62,58
,"Natural gas distribution, water, sewage and other systems  [BS221A0]",6,3,4,1,0s,0s,0s,1,1,1
,Residential building construction  [BS23A00],1,1,1,1,3,2,1,1,2,2
,Non-residential building construction  [BS23B00],1,1,0s,0s,2,2,2,2,1,1
,Transportation engineering construction  [BS23C10],3,2,2,1,3,3,3,4,6,6
,Oil and gas engineering construction  [BS23C20],1,1,0s,0s,0s,0s,1,0s,0s,0s
,Electric power engineering construction  [BS23C30],0s,1,0s,0s,2,0s,1,1,2,2
,Communication engineering construction  [BS23C40],0s,0s,0s,1,3,2,0s,0s,0s,0s
,Other engineering construction  [BS23C50],7,5,6,7,18,9,6,4,2,2
,Repair construction  [BS23D00],2,2,2,3,4,3,1,2,2,2
,Other activities of the construction industry  [BS23E00],12,13,10,13,20,21,19,21,18,19
,Animal food manufacturing  [BS31110],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Sugar and confectionery product manufacturing  [BS31130],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Fruit and vegetable preserving and specialty food manufacturing  [BS31140],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Dairy product manufacturing  [BS31150],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Meat product manufacturing  [BS31160],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Seafood product preparation and packaging  [BS31170],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Miscellaneous food manufacturing  [BS311A0],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Soft drink and ice manufacturing  [BS31211],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Breweries  [BS31212],0,0s,0s,0s,0s,0s,0s,0s,0,0s
,Wineries and distilleries  [BS3121A],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Tobacco manufacturing  [BS31220],0,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Textile and textile product mills  [BS31A00],1,1,0s,1,0s,0s,0s,0s,0s,0s
,Clothing and leather and allied product manufacturing  [BS31B00],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Wood product manufacturing  [BS32100] 12,1,1,1,1,1,2,0s,1,1,1
,"Pulp, paper and paperboard mills  [BS32210] 12",0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Converted paper product manufacturing  [BS32220],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Printing and related support activities  [BS32300],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Petroleum and coal product manufacturing  [BS32400],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Basic chemical manufacturing  [BS32510],0s,0s,0s,0s,0s,0s,3,4,7,7
,"Pesticide, fertilizer and other agricultural chemical manufacturing  [BS32530]",0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Pharmaceutical and medicine manufacturing  [BS32540],0,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Miscellaneous chemical product manufacturing  [BS325C0] 13,4,4,2,5,14,23,18,31,23,24
,Plastic product manufacturing  [BS32610],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Rubber product manufacturing  [BS32620],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Non-metallic mineral product manufacturing (except cement and concrete products)  [BS327A0],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Cement and concrete product manufacturing  [BS32730],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Primary metal manufacturing  [BS33100],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Fabricated metal product manufacturing  [BS33200],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Machinery manufacturing  [BS33300],0s,1,0s,0s,0s,0s,0s,0s,0s,0s
,Computer and peripheral equipment manufacturing  [BS33410],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Electronic product manufacturing  [BS334B0],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Electrical  equipment and component manufacturing  [BS335A0],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Household appliance manufacturing  [BS33520],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Motor vehicle manufacturing  [BS33610],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Motor vehicle body and trailer manufacturing  [BS33620],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Motor vehicle parts manufacturing  [BS33630],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Aerospace product and parts manufacturing  [BS33640],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Railroad rolling stock manufacturing  [BS33650],0,0,0,0,0,0,0,0,0,0
,Ship and boat building  [BS33660],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Other transportation equipment manufacturing  [BS33690],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Furniture and related product manufacturing  [BS33700],0s,0s,0s,0s,0s,0s,1,1,0s,0s
,Miscellaneous manufacturing  [BS33900],0s,1,0s,0s,0s,0s,0s,0s,0s,0s
,Wholesale trade  [BS41000],35,32,22,22,19,38,35,21,9,9
,Retail trade  [BS4A000],42,46,..,..,..,..,..,..,..,..
,Retail trade (except cannabis)  [BS4AA00],..,..,48,45,25,54,55,38,28,29
,Cannabis stores (licensed)  [BS453BL],..,..,0,0,0,0,0s,0,0,0
,Cannabis stores (unlicensed)  [BS453BU],..,..,0s,0s,0s,0s,0s,0,0,0
,Air transportation  [BS48100],347,370,361,318,328,310,268,274,200,200
,Rail transportation  [BS48200],1,1,1,1,1,0s,0s,0s,0s,0s
,Water transportation  [BS48300],143,140,148,188,173,24,22,14,4,4
,Truck transportation  [BS48400],40,39,28,23,16,17,18,15,14,15
,"Transit, ground passenger and scenic and sightseeing transportation, taxi and limousine service and support activities for transportation  [BS48B00]",12,11,11,12,9,11,33,29,21,21
,Pipeline transportation  [BS48600],4,4,5,2,2,1,4,17,11,11
,Postal service and couriers and messengers  [BS49A00],5,5,4,4,6,7,14,21,9,10
,Warehousing and storage  [BS49300],1,1,1,1,1,1,1,0s,0s,0s
,Motion picture and sound recording industries  [BS51200],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Radio and television broadcasting  [BS51510],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,"Publishing, pay/specialty services, telecommunications and other information services  [BS51B00]",8,7,10,4,9,18,10,5,2,2
,Depository credit intermediation and monetary authorities  [BS52B00],9,7,6,11,1,1,1,0s,0s,0s
,Insurance carriers  [BS52410],0s,0s,0s,1,0s,0s,0s,0s,0s,0s
,Lessors of real estate  [BS53110],1,1,1,6,7,12,12,11,11,11
,Owner-occupied dwellings  [BS5311A],0,0,0,0,0,0,0,0,0,0
,Rental and leasing services and lessors of non-financial intangible assets (except copyrighted works)  [BS53B00],13,5,2,3,2,5,4,3,3,3
,"Other finance, insurance and real estate services and management of companies and enterprises  [BS5A000]",5,5,5,6,3,3,3,4,2,2
,"Legal, accounting and architectural, engineering and related services  [BS541C0]",3,3,3,2,1,1,1,2,1,1
,"Computer systems design and other professional, scientific and technical services  [BS541D0]",7,4,7,12,1,1,1,1,0s,0s
,"Advertising, public relations and related services  [BS54180]",0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Administrative and support services  [BS56100],5,4,4,4,2,3,3,3,2,2
,Waste management and remediation services  [BS56200],10,10,8,10,11,28,26,21,16,17
,Educational services  [BS61000],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Health care and social assistance  [BS62000],7,8,6,6,6,8,6,7,5,5
,"Arts, entertainment and recreation  [BS71000]",1,1,1,0s,0s,0s,0s,0s,0s,0s
,Accommodation and food services  [BS72000],20,36,34,28,30,57,58,48,31,32
,Repair and maintenance  [BS81100],4,4,4,5,4,6,6,4,3,3
,Personal services and private households  [BS81A00],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Professional and similar organisations  [BS81300],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Repair and maintenance  [FC11000],0,0,0,0,0,0,0,0,0,0
,Operating supplies  [FC12000],0,0,0,0,0,0,0,0,0,0
,Office supplies  [FC13000],0,0,0,0,0,0,0,0,0,0
,"Advertising, promotion, meals, entertainment, and travel  [FC20000]",0,0,0,0,0,0,0,0,0,0
,Transportation margins  [FC30000],0,0,0,0,0,0,0,0,0,0
,Non-profit education services  [NP61000],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Non-profit social assistance  [NP62400],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,"Non-profit arts, entertainment and recreation  [NP71000]",0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Religious organizations  [NP81310],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Miscellaneous non-profit institutions serving households  [NPA0000],2,2,2,2,3,4,3,3,3,3
,Educational services (except universities)  [GS611B0],74,12,13,18,3,3,3,5,4,4
,Universities  [GS61130],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Hospitals  [GS62200],6,6,5,12,9,15,17,15,17,18
,Nursing and residential care facilities  [GS62300],0s,0s,0s,0s,0s,0s,0s,1,1,1
,Other federal government services  [GS91100],20,16,60,25,14,32,28,33,19,21
,Other provincial and territorial government services  [GS91200],114,187,183,164,126,220,176,148,161,166
,Other municipal government services  [GS91300],29,29,29,33,38,63,58,48,50,51
,Other aboriginal government services  [GS91400],22,18,21,29,2,55,50,51,59,60
,"Total, households",158,152,178,179,153,133,140,146,128,124
,Households: Motor fuels and lubricants,71,66,76,81,81,73,74,78,67,67
,Households: Electricity and other fuels,87,86,102,98,72,61,66,69,60,57
Nunavut,"Total, industries and households",516,648,668,652,685,707,762,944,850,738
,"Total, industries",488,614,605,559,622,651,716,904,817,702
,Crop and animal production  [BS11A00],0,0,..,..,..,..,..,..,..,..
,Crop and animal production (except cannabis)  [BS11B00],..,..,0,0,0,0,0,0s,0s,0s
,Cannabis production (licensed)  [BS111CL],..,..,0,0,0,0,0,0,0,0
,Cannabis production (unlicensed)  [BS111CU],..,..,0,0,0,0,0,0,0,0
,Forestry and logging  [BS11300],0,0,0,0,0,0,0,0s,0s,0s
,"Fishing, hunting and trapping  [BS11400]",0s,0s,0s,0s,0s,1,0s,1,1,1
,Support activities for agriculture and forestry  [BS11500],0,0,0,0,0,0,0,0s,0s,0s
,Oil and gas extraction  [BS21100],0,0,0,0,0,0,0,0s,0s,0s
,Coal mining  [BS21210],0,0,0,0,0,0,0,0s,0s,0s
,Metal ore mining  [BS21220],202,203,195,204,297,305,353,548,508,383
,Non-metallic mineral mining and quarrying  [BS21230],0,0,0,0,0,0,0,0s,0s,0s
,Support activities for mining and oil and gas extraction  [BS21300],55,122,34,43,26,30,26,22,15,15
,"Electric power generation, transmission and distribution  [BS22110]",74,69,118,114,135,137,164,162,150,156
,"Natural gas distribution, water, sewage and other systems  [BS221A0]",0s,0,0,0,0,0,0,0,0,0s
,Residential building construction  [BS23A00],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Non-residential building construction  [BS23B00],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Transportation engineering construction  [BS23C10],0s,0s,0s,0s,0s,1,0s,0s,0s,0s
,Oil and gas engineering construction  [BS23C20],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Electric power engineering construction  [BS23C30],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Communication engineering construction  [BS23C40],0s,0,0s,0s,0s,0s,0s,0s,0s,0s
,Other engineering construction  [BS23C50],2,7,6,4,4,6,11,7,3,4
,Repair construction  [BS23D00],1,1,0s,1,2,1,1,1,1,1
,Other activities of the construction industry  [BS23E00],0s,0s,0s,0s,1,0s,0s,1,0s,1
,Animal food manufacturing  [BS31110],0,0,0,0,0,0,0,0s,0s,0s
,Sugar and confectionery product manufacturing  [BS31130],0,0,0,0,0,0,0,0s,0s,0s
,Fruit and vegetable preserving and specialty food manufacturing  [BS31140],0,0,0,0,0,0,0,0s,0s,0s
,Dairy product manufacturing  [BS31150],0,0,0,0,0,0,0,0s,0s,0s
,Meat product manufacturing  [BS31160],0,0,0,0,0,0,0,0s,0s,0s
,Seafood product preparation and packaging  [BS31170],2,7,2,2,1,1,1,1,0s,0s
,Miscellaneous food manufacturing  [BS311A0],0,0,0,0,0,0,0,0s,0s,0s
,Soft drink and ice manufacturing  [BS31211],0,0,0,0,0,0,0,0s,0s,0s
,Breweries  [BS31212],0,0,0,0,0,0,0s,0,0,0
,Wineries and distilleries  [BS3121A],0,0,0,0,0,0,0,0s,0s,0s
,Tobacco manufacturing  [BS31220],0,0,0,0,0,0,0,0,0,0
,Textile and textile product mills  [BS31A00],0s,0,0s,0,0,0,0,0s,0s,0s
,Clothing and leather and allied product manufacturing  [BS31B00],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Wood product manufacturing  [BS32100] 12,0,0,0,0,0,0,0,0s,0s,0s
,"Pulp, paper and paperboard mills  [BS32210] 12",0,0,0,0,0,0,0,0s,0s,0s
,Converted paper product manufacturing  [BS32220],0,0,0,0,0,0,0,0s,0s,0s
,Printing and related support activities  [BS32300],0s,0s,0s,0,0,0,0,0s,0s,0s
,Petroleum and coal product manufacturing  [BS32400],0,0,0,0,0,0,0,0s,0s,0s
,Basic chemical manufacturing  [BS32510],0,0,0,0,0,0,0,0s,0s,0s
,"Pesticide, fertilizer and other agricultural chemical manufacturing  [BS32530]",0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Pharmaceutical and medicine manufacturing  [BS32540],0,0,0,0,0,0,0,0,0,0
,Miscellaneous chemical product manufacturing  [BS325C0] 13,1,0s,0s,1,1,1,1,1,1,1
,Plastic product manufacturing  [BS32610],0,0,0,0,0,0,0,0s,0s,0s
,Rubber product manufacturing  [BS32620],0,0,0,0,0,0,0,0s,0s,0s
,Non-metallic mineral product manufacturing (except cement and concrete products)  [BS327A0],0,0,0,0,0,0,0,0s,0s,0s
,Cement and concrete product manufacturing  [BS32730],0,0,0,0,0,0,0,0s,0s,0s
,Primary metal manufacturing  [BS33100],0,0,0,0,0,0,0,0s,0s,0s
,Fabricated metal product manufacturing  [BS33200],0,0,0,0,0,0,0,0s,0s,0s
,Machinery manufacturing  [BS33300],0,0,0,0,0,0,0,0s,0s,0s
,Computer and peripheral equipment manufacturing  [BS33410],0,0,0,0,0,0,0,0s,0s,0s
,Electronic product manufacturing  [BS334B0],0,0,0,0,0,0,0,0s,0s,0s
,Electrical  equipment and component manufacturing  [BS335A0],0,0,0,0,0,0,0,0s,0s,0s
,Household appliance manufacturing  [BS33520],0,0,0,0,0,0,0,0s,0s,0s
,Motor vehicle manufacturing  [BS33610],0,0,0,0,0,0,0,0s,0s,0s
,Motor vehicle body and trailer manufacturing  [BS33620],0,0,0,0,0,0,0,0s,0s,0s
,Motor vehicle parts manufacturing  [BS33630],0,0,0,0,0,0,0,0s,0s,0s
,Aerospace product and parts manufacturing  [BS33640],0,0,0,0,0,0,0,0s,0s,0s
,Railroad rolling stock manufacturing  [BS33650],0,0,0,0,0,0,0,0,0,0
,Ship and boat building  [BS33660],0,0,0,0,0,0,0,0s,0s,0s
,Other transportation equipment manufacturing  [BS33690],0,0,0,0,0,0,0,0s,0s,0s
,Furniture and related product manufacturing  [BS33700],0,0,0s,0,0,0,0,0s,0s,0s
,Miscellaneous manufacturing  [BS33900],0,0,0,0,0,0,0,0s,0s,0s
,Wholesale trade  [BS41000],1,4,1,2,1,2,1,1,1,1
,Retail trade  [BS4A000],8,22,..,..,..,..,..,..,..,..
,Retail trade (except cannabis)  [BS4AA00],..,..,8,9,7,9,8,7,5,5
,Cannabis stores (licensed)  [BS453BL],..,..,0,0,0,0,0,0,0,0
,Cannabis stores (unlicensed)  [BS453BU],..,..,0s,0,0,0,0,0,0,0
,Air transportation  [BS48100],68,65,64,66,72,91,97,100,91,91
,Rail transportation  [BS48200],0,0,0,0,0,0,0,0s,0s,0s
,Water transportation  [BS48300],1,2,0s,1,1,1,1,1,0s,0s
,Truck transportation  [BS48400],3,3,3,2,3,3,2,3,3,3
,"Transit, ground passenger and scenic and sightseeing transportation, taxi and limousine service and support activities for transportation  [BS48B00]",1,1,1,2,1,1,1,1,2,2
,Pipeline transportation  [BS48600],0,0,0,0,0,0,0,0s,0s,0s
,Postal service and couriers and messengers  [BS49A00],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Warehousing and storage  [BS49300],0,0,0,0s,0s,0s,0s,0s,0s,0s
,Motion picture and sound recording industries  [BS51200],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Radio and television broadcasting  [BS51510],0s,0,0,0,0,0,0,0,0,0s
,"Publishing, pay/specialty services, telecommunications and other information services  [BS51B00]",1,1,1,0s,0s,0s,0s,0s,0s,0s
,Depository credit intermediation and monetary authorities  [BS52B00],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Insurance carriers  [BS52410],0,0,0s,0,0s,0s,0s,0,0,0
,Lessors of real estate  [BS53110],0s,0s,4,6,3,2,1,1,1,1
,Owner-occupied dwellings  [BS5311A],0,0,0,0,0,0,0,0,0,0
,Rental and leasing services and lessors of non-financial intangible assets (except copyrighted works)  [BS53B00],3,6,1,0s,1,1,1,1,1,1
,"Other finance, insurance and real estate services and management of companies and enterprises  [BS5A000]",1,1,1,1,1,1,0s,0s,0s,0s
,"Legal, accounting and architectural, engineering and related services  [BS541C0]",0s,1,0s,0s,0s,0s,0s,0s,0s,0s
,"Computer systems design and other professional, scientific and technical services  [BS541D0]",0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,"Advertising, public relations and related services  [BS54180]",0,0,0,0,0s,0s,0s,0s,0s,0s
,Administrative and support services  [BS56100],1,1,1,1,2,2,2,2,1,2
,Waste management and remediation services  [BS56200],15,35,5,2,1,1,1,1,0s,0s
,Educational services  [BS61000],0s,0s,1,1,1,1,0s,0s,0,0
,Health care and social assistance  [BS62000],5,5,6,6,5,5,4,4,4,5
,"Arts, entertainment and recreation  [BS71000]",0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Accommodation and food services  [BS72000],1,5,3,5,3,2,2,2,1,1
,Repair and maintenance  [BS81100],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Personal services and private households  [BS81A00],0s,0,0s,1,0s,0s,0s,0s,0s,0s
,Professional and similar organisations  [BS81300],0s,0s,0s,0s,0s,0s,0s,0,0,0
,Repair and maintenance  [FC11000],0,0,0,0,0,0,0,0,0,0
,Operating supplies  [FC12000],0,0,0,0,0,0,0,0,0,0
,Office supplies  [FC13000],0,0,0,0,0,0,0,0,0,0
,"Advertising, promotion, meals, entertainment, and travel  [FC20000]",0,0,0,0,0,0,0,0,0,0
,Transportation margins  [FC30000],0,0,0,0,0,0,0,0,0,0
,Non-profit education services  [NP61000],0s,0s,0s,0s,0s,0s,0s,0,0,0
,Non-profit social assistance  [NP62400],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,"Non-profit arts, entertainment and recreation  [NP71000]",0,0,0,0s,0s,0s,0s,0,0,0
,Religious organizations  [NP81310],0s,0s,0s,0s,0s,0s,0s,0s,0,0
,Miscellaneous non-profit institutions serving households  [NPA0000],1,1,1,1,1,1,1,1,1,1
,Educational services (except universities)  [GS611B0],2,1,3,4,3,3,3,3,2,2
,Universities  [GS61130],0,0,0,0,0,0,0,0s,0s,0s
,Hospitals  [GS62200],0s,0,0,0,0,0,0,0,0,0
,Nursing and residential care facilities  [GS62300],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Other federal government services  [GS91100],3,7,4,6,7,5,3,2,1,1
,Other provincial and territorial government services  [GS91200],25,31,107,32,19,20,16,15,12,12
